Wall time,Step,Value
1730310873.584669,0,2.315086841583252
1730310911.967763,1,2.2763407230377197
1730310950.556612,2,2.2063398361206055
1730310989.075093,3,2.1358704566955566
1730311027.998845,4,2.085674524307251
1730311066.304067,5,2.055753231048584
1730311104.148178,6,2.03191876411438
1730311142.755437,7,2.015146255493164
1730311181.096611,8,1.9981396198272705
1730311219.427881,9,1.987978219985962
1730311257.58335,10,1.9765596389770508
1730311296.003633,11,1.9664089679718018
1730311334.95809,12,1.9593284130096436
1730311373.836588,13,1.9504377841949463
1730311412.651225,14,1.9415591955184937
1730311451.211832,15,1.9323750734329224
1730311489.896758,16,1.9235432147979736
1730311528.479661,17,1.9193665981292725
1730311567.244911,18,1.910109519958496
1730311606.093263,19,1.9055957794189453
1730311644.94707,20,1.8977181911468506
1730311683.837172,21,1.8894455432891846
1730311722.545502,22,1.8880250453948975
1730311761.305966,23,1.8775635957717896
1730311800.128312,24,1.8720355033874512
1730311839.23767,25,1.8682218790054321
1730311877.999459,26,1.8647667169570923
1730311916.852232,27,1.8563064336776733
1730311955.758921,28,1.8507038354873657
1730311994.620653,29,1.8467881679534912
1730312033.403438,30,1.839209794998169
1730312072.163615,31,1.8347358703613281
1730312110.896692,32,1.8294309377670288
1730312149.709054,33,1.8233383893966675
1730312188.254529,34,1.8165209293365479
1730312227.146213,35,1.811866044998169
1730312265.881595,36,1.8061431646347046
1730312304.79249,37,1.7993594408035278
1730312343.88003,38,1.7960351705551147
1730312383.383048,39,1.7885637283325195
1730312422.632714,40,1.7837328910827637
1730312461.991197,41,1.7778276205062866
1730312501.235015,42,1.76935613155365
1730312540.803541,43,1.7654671669006348
1730312580.210362,44,1.762129783630371
1730312619.888576,45,1.7561427354812622
1730312659.435156,46,1.7476449012756348
1730312699.036719,47,1.7395433187484741
1730312738.851914,48,1.7396855354309082
1730312778.733602,49,1.7350618839263916
1730312818.670095,50,1.7275339365005493
1730312858.26518,51,1.7221779823303223
1730312898.086444,52,1.7203444242477417
1730312937.926492,53,1.7139205932617188
1730312977.849188,54,1.7068617343902588
1730313017.984927,55,1.7031841278076172
1730313057.98353,56,1.699926495552063
1730313097.930674,57,1.693611979484558
1730313137.783378,58,1.6865841150283813
1730313177.698323,59,1.6808208227157593
1730313217.74066,60,1.6749039888381958
1730313257.685748,61,1.6703015565872192
1730313297.528711,62,1.6687757968902588
1730313337.656518,63,1.6606197357177734
1730313377.582004,64,1.6553263664245605
1730313417.55584,65,1.652190923690796
1730313457.462501,66,1.6485892534255981
1730313497.178186,67,1.6441211700439453
1730313535.654009,68,1.639686942100525
1730313574.250075,69,1.6362686157226562
1730313612.717811,70,1.6334606409072876
1730313651.278536,71,1.629294753074646
1730313690.491358,72,1.6240566968917847
1730313729.395788,73,1.625624656677246
1730313767.964679,74,1.6189607381820679
1730313806.612014,75,1.6150866746902466
1730313846.140462,76,1.6103737354278564
1730313885.607148,77,1.6081689596176147
1730313924.898498,78,1.6073256731033325
1730313964.062162,79,1.6015862226486206
1730314003.32326,80,1.6003730297088623
1730314042.43018,81,1.597159743309021
1730314081.697229,82,1.5893937349319458
1730314120.728869,83,1.592120885848999
1730314159.912879,84,1.5865291357040405
1730314199.547953,85,1.582992672920227
1730314239.239609,86,1.5793205499649048
1730314278.619246,87,1.5783711671829224
1730314318.285851,88,1.573905348777771
1730314359.564453,89,1.5752867460250854
1730314402.244357,90,1.5701086521148682
1730314445.413005,91,1.5701744556427002
1730314484.756899,92,1.5654525756835938
1730314524.243766,93,1.5602023601531982
1730314563.807314,94,1.5605194568634033
1730314603.548665,95,1.5583499670028687
1730314643.138109,96,1.555666446685791
1730314682.601327,97,1.5488216876983643
1730314721.88055,98,1.5522470474243164
1730314761.178682,99,1.5449689626693726
1730314800.03217,100,1.5459179878234863
1730314838.804548,101,1.543185830116272
1730314877.439957,102,1.54181706905365
1730314916.31472,103,1.5340436697006226
1730314954.9856,104,1.532411813735962
1730314993.883275,105,1.5307252407073975
1730315044.843612,106,1.5232466459274292
1730315147.220706,107,1.5192341804504395
1730315268.019789,108,1.5146983861923218
1730315386.295006,109,1.5140374898910522
1730315516.426901,110,1.5076199769973755
1730315649.621089,111,1.505882740020752
1730315781.543213,112,1.5004676580429077
1730315921.831926,113,1.4971355199813843
1730316066.346013,114,1.4952176809310913
1730316202.50937,115,1.493202567100525
1730316344.43029,116,1.4911389350891113
1730316486.572995,117,1.4845441579818726
1730316626.701769,118,1.4847652912139893
1730316768.983904,119,1.4844855070114136
1730316908.519639,120,1.480922818183899
1730317049.65974,121,1.4778361320495605
1730317188.580408,122,1.4748514890670776
1730317328.352868,123,1.4715567827224731
1730317469.493313,124,1.47117018699646
1730317612.296271,125,1.4740712642669678
1730317751.138268,126,1.4694859981536865
1730317893.581674,127,1.4667587280273438
1730318033.987613,128,1.4663788080215454
1730318184.173454,129,1.4645311832427979
1730318326.185193,130,1.4638766050338745
1730318472.426517,131,1.4576451778411865
1730318613.003228,132,1.4616711139678955
1730318755.801796,133,1.4600507020950317
1730318898.844954,134,1.458337664604187
1730319040.531693,135,1.4569875001907349
1730319181.01184,136,1.455430269241333
1730319327.849288,137,1.4546772241592407
1730319468.350735,138,1.4528251886367798
1730319612.143076,139,1.452396035194397
1730319759.020842,140,1.4490504264831543
1730319902.237932,141,1.4511224031448364
1730320045.119489,142,1.4495031833648682
1730320188.332683,143,1.4465948343276978
1730320334.069661,144,1.4464267492294312
1730320479.114456,145,1.4498342275619507
1730320624.282226,146,1.4454530477523804
1730320768.973522,147,1.4452612400054932
1730320919.190861,148,1.4424583911895752
1730321066.685735,149,1.441532015800476
1730321213.497719,150,1.4416136741638184
1730321366.266159,151,1.4399534463882446
1730321512.879613,152,1.438878059387207
1730321661.424104,153,1.437734603881836
1730321804.0465,154,1.4405266046524048
1730321949.071612,155,1.436537504196167
1730322094.244911,156,1.4364091157913208
1730322242.536718,157,1.4330697059631348
1730322388.700978,158,1.433590292930603
1730322534.819042,159,1.434563398361206
1730322688.534035,160,1.4348220825195312
