Wall time,Step,Value
1730364482.519849,0,2.3194875717163086
1730364517.120883,1,1.6227810382843018
1730364551.927021,2,1.5607481002807617
1730364587.597716,3,1.535916805267334
1730364623.221259,4,1.5214722156524658
1730364658.008307,5,1.509112000465393
1730364692.795575,6,1.4989736080169678
1730364728.349316,7,1.4925235509872437
1730364763.849515,8,1.4880475997924805
1730364799.065131,9,1.482608675956726
1730364834.092575,10,1.4765559434890747
1730364869.693365,11,1.4728374481201172
1730364905.344513,12,1.471468210220337
1730364940.902406,13,1.4683252573013306
1730364976.534108,14,1.4645204544067383
1730365012.050187,15,1.460999608039856
1730365047.687086,16,1.4486759901046753
1730365082.931116,17,1.4092953205108643
1730365118.755656,18,1.3066893815994263
1730365154.421923,19,1.1014621257781982
1730365189.902676,20,0.9528794288635254
1730365225.524052,21,0.8582507371902466
1730365261.048403,22,0.7962459325790405
1730365296.467554,23,0.74140465259552
1730365332.15286,24,0.7110880613327026
1730365367.797531,25,0.6761249899864197
1730365403.562857,26,0.6457075476646423
1730365438.967214,27,0.6355329751968384
1730365474.549062,28,0.6148331761360168
1730365510.097369,29,0.6000687479972839
1730365545.688477,30,0.577321469783783
1730365581.265449,31,0.5681474804878235
1730365616.951786,32,0.5499738454818726
1730365652.730002,33,0.5447125434875488
1730365688.344712,34,0.5314807295799255
1730365723.963073,35,0.519090473651886
1730365759.709502,36,0.5075438618659973
1730365795.663546,37,0.5059745907783508
1730365831.073175,38,0.4928896129131317
1730365866.701791,39,0.49150896072387695
1730365902.324733,40,0.4791792333126068
1730365938.036576,41,0.4712587594985962
1730365973.804545,42,0.4674764573574066
1730366009.496808,43,0.4622538983821869
1730366045.164068,44,0.4532754123210907
1730366080.777307,45,0.44574299454689026
1730366116.405448,46,0.44307440519332886
1730366152.15942,47,0.4370039105415344
1730366187.899189,48,0.4297237992286682
1730366223.356955,49,0.42506319284439087
1730366258.390805,50,0.4182673692703247
1730366293.798545,51,0.4191311001777649
1730366329.166287,52,0.41971200704574585
1730366364.162335,53,0.41713565587997437
1730366398.948239,54,0.406232625246048
1730366433.529247,55,0.4015810787677765
1730366467.895803,56,0.4037058353424072
1730366502.30505,57,0.40227535367012024
1730366536.626265,58,0.39189010858535767
1730366570.867774,59,0.3936460018157959
1730366605.253052,60,0.38355597853660583
1730366639.73627,61,0.38753998279571533
1730366674.978368,62,0.3797471225261688
1730366710.572992,63,0.37217196822166443
1730366745.381375,64,0.37777596712112427
1730366780.16972,65,0.373370498418808
1730366815.059942,66,0.37566041946411133
1730366849.932529,67,0.36497926712036133
1730366884.677017,68,0.36782777309417725
1730366919.479924,69,0.3625866174697876
1730366954.196286,70,0.35705387592315674
1730366989.154178,71,0.3582603335380554
1730367023.458903,72,0.35742804408073425
1730367057.758022,73,0.35496988892555237
1730367092.148591,74,0.3520076870918274
1730367126.419315,75,0.3522874414920807
1730367160.894774,76,0.3481062948703766
1730367195.310369,77,0.3502429723739624
1730367229.697125,78,0.3458276391029358
1730367264.023596,79,0.3459157347679138
1730367298.36668,80,0.34465786814689636
1730367332.788607,81,0.342369943857193
1730367367.524991,82,0.33842161297798157
1730367402.260523,83,0.33356013894081116
1730367436.920273,84,0.33642691373825073
1730367471.616329,85,0.33756816387176514
1730367506.246582,86,0.33359724283218384
1730367541.035817,87,0.33216795325279236
1730367575.968366,88,0.32880935072898865
1730367610.757857,89,0.32654649019241333
1730367645.46937,90,0.32675161957740784
1730367680.281474,91,0.32718780636787415
1730367715.250568,92,0.321300208568573
1730367750.574115,93,0.3242015540599823
1730367785.985461,94,0.3190319538116455
1730367820.534364,95,0.31748026609420776
1730367855.039303,96,0.3164282739162445
1730367889.829355,97,0.3180626630783081
1730367924.576634,98,0.3189545273780823
1730367959.803236,99,0.3182525336742401
1730367994.504578,100,0.31256967782974243
1730368029.200646,101,0.31257164478302
1730368063.643514,102,0.3119340240955353
1730368098.276017,103,0.31030622124671936
1730368132.831227,104,0.30943241715431213
1730368167.372589,105,0.30825579166412354
1730368202.385576,106,0.3072706162929535
1730368237.48982,107,0.3062782883644104
1730368272.208392,108,0.3057693839073181
1730368306.820526,109,0.3048953413963318
1730368341.364014,110,0.3000882863998413
1730368376.151239,111,0.3022039532661438
1730368411.003896,112,0.30732491612434387
1730368445.667541,113,0.3028647303581238
1730368480.556571,114,0.30121055245399475
1730368515.389678,115,0.29821255803108215
1730368550.143222,116,0.30191415548324585
1730368584.893318,117,0.2998524010181427
1730368619.794061,118,0.2974516749382019
1730368654.404985,119,0.2959737479686737
1730368689.633406,120,0.29159435629844666
1730368724.70316,121,0.2957165241241455
1730368759.954785,122,0.2918911576271057
1730368795.04929,123,0.29318153858184814
1730368829.590366,124,0.2937925159931183
1730368864.02893,125,0.2906534969806671
1730368898.506118,126,0.2870643138885498
1730368933.001203,127,0.2928504943847656
1730368967.400531,128,0.28828659653663635
1730369001.875959,129,0.2866538465023041
1730369036.493201,130,0.28820377588272095
1730369070.987274,131,0.28750431537628174
1730369105.573504,132,0.2802225947380066
1730369140.194296,133,0.28329768776893616
1730369174.712703,134,0.2844488322734833
1730369209.340737,135,0.2839911878108978
1730369243.970745,136,0.2815961539745331
1730369278.485068,137,0.28197187185287476
