Wall time,Step,Value
1730364482.520388,0,0.20462888479232788
1730364517.121087,1,0.378851979970932
1730364551.927235,2,0.3987457752227783
1730364587.597917,3,0.4082275629043579
1730364623.221461,4,0.4129284620285034
1730364658.008513,5,0.4164891242980957
1730364692.795784,6,0.41974976658821106
1730364728.349514,7,0.4223102331161499
1730364763.849727,8,0.42473068833351135
1730364799.065334,9,0.424880713224411
1730364834.09276,10,0.42832139134407043
1730364869.693574,11,0.42920154333114624
1730364905.34472,12,0.4306318163871765
1730364940.902608,13,0.4303617775440216
1730364976.534323,14,0.43393245339393616
1730365012.050398,15,0.4384633004665375
1730365047.687316,16,0.4521959125995636
1730365082.931317,17,0.47980114817619324
1730365118.756131,18,0.5255898833274841
1730365154.422114,19,0.6083155870437622
1730365189.902874,20,0.6643962264060974
1730365225.524273,21,0.6978425979614258
1730365261.048604,22,0.7213770747184753
1730365296.467764,23,0.7396705150604248
1730365332.153089,24,0.7520428895950317
1730365367.797743,25,0.7635951042175293
1730365403.563064,26,0.7739970684051514
1730365438.967417,27,0.7785879373550415
1730365474.549276,28,0.7850091457366943
1730365510.097573,29,0.7906101942062378
1730365545.688672,30,0.7989417910575867
1730365581.265642,31,0.8023424744606018
1730365616.952,32,0.8095338344573975
1730365652.730207,33,0.8104739785194397
1730365688.344912,34,0.8160850405693054
1730365723.963281,35,0.8195257186889648
1730365759.709711,36,0.8238265514373779
1730365795.663774,37,0.8243666291236877
1730365831.073387,38,0.8284174203872681
1730365866.701995,39,0.8294876217842102
1730365902.324929,40,0.8338984251022339
1730365938.036777,41,0.837039053440094
1730365973.804771,42,0.8390194177627563
1730366009.497004,43,0.8389194011688232
1730366045.164268,44,0.8432402014732361
1730366080.777508,45,0.8455106616020203
1730366116.405661,46,0.8468809127807617
1730366152.15963,47,0.8487112522125244
1730366187.899652,48,0.8517718315124512
1730366223.357153,49,0.8513017296791077
1730366258.391007,50,0.8552224636077881
1730366293.798754,51,0.8538622260093689
1730366329.16649,52,0.853542149066925
1730366364.162556,53,0.8554225564002991
1730366398.94844,54,0.8590232133865356
1730366433.529435,55,0.8609635829925537
1730366467.896046,56,0.8594132661819458
1730366502.305243,57,0.8608035445213318
1730366536.626485,58,0.8647643327713013
1730366570.867974,59,0.864944338798523
1730366605.253259,60,0.8662745952606201
1730366639.736479,61,0.8668447136878967
1730366674.978593,62,0.8680649399757385
1730366710.573189,63,0.8702553510665894
1730366745.381573,64,0.8689250946044922
1730366780.169918,65,0.8703053593635559
1730366815.06013,66,0.8702653646469116
1730366849.932745,67,0.8743861317634583
1730366884.677231,68,0.87298583984375
1730366919.480157,69,0.8733859658241272
1730366954.196487,70,0.8769665956497192
1730366989.154367,71,0.8758164048194885
1730367023.459097,72,0.8767966032028198
1730367057.758221,73,0.8772866725921631
1730367092.148787,74,0.8776267766952515
1730367126.419508,75,0.8769766092300415
1730367160.894967,76,0.8799271583557129
1730367195.310549,77,0.8773967027664185
1730367229.697324,78,0.8790470361709595
1730367264.023792,79,0.87928706407547
1730367298.366878,80,0.8804972767829895
1730367332.788809,81,0.8810274004936218
1730367367.525178,82,0.8822676539421082
1730367402.26072,83,0.8846280574798584
1730367436.920457,84,0.8838179111480713
1730367471.61652,85,0.8829577565193176
1730367506.246785,86,0.8846880793571472
1730367541.036016,87,0.8842779994010925
1730367575.968556,88,0.8866084814071655
1730367610.758041,89,0.8868184685707092
1730367645.469568,90,0.8860383629798889
1730367680.281661,91,0.8858883380889893
1730367715.250761,92,0.8883687853813171
1730367750.57431,93,0.887588620185852
1730367785.985656,94,0.8887288570404053
1730367820.534554,95,0.8909192681312561
1730367855.0395,96,0.8886788487434387
1730367889.829552,97,0.8900191187858582
1730367924.57686,98,0.8896090388298035
1730367959.803422,99,0.889428973197937
1730367994.504771,100,0.8904392123222351
1730368029.200839,101,0.8914793729782104
1730368063.643714,102,0.8923495411872864
1730368098.276218,103,0.8927996158599854
1730368132.831416,104,0.8925995826721191
1730368167.372784,105,0.8930596709251404
1730368202.385778,106,0.8941599130630493
1730368237.490201,107,0.8936398029327393
1730368272.208586,108,0.8935497999191284
1730368306.82071,109,0.8941099047660828
1730368341.36422,110,0.8959302306175232
1730368376.151434,111,0.8953701257705688
1730368411.004083,112,0.8929596543312073
1730368445.667739,113,0.8943299055099487
1730368480.556758,114,0.8950800895690918
1730368515.389878,115,0.896020233631134
1730368550.143419,116,0.8956902027130127
1730368584.893697,117,0.8960402607917786
1730368619.794251,118,0.8956601619720459
1730368654.405185,119,0.8975505232810974
1730368689.63362,120,0.8984206914901733
1730368724.703347,121,0.8969504237174988
1730368759.954982,122,0.8984706997871399
1730368795.049485,123,0.8985207080841064
1730368829.590555,124,0.8977505564689636
1730368864.029115,125,0.8994408845901489
1730368898.506311,126,0.8997509479522705
1730368933.001401,127,0.8982306718826294
1730368967.400729,128,0.8999009728431702
1730369001.876146,129,0.9002810716629028
1730369036.493397,130,0.8998609781265259
1730369070.987466,131,0.9007911682128906
1730369105.5737,132,0.9035516977310181
1730369140.194491,133,0.9018813371658325
1730369174.712904,134,0.9016613364219666
1730369209.340937,135,0.9028815627098083
1730369243.970941,136,0.9024814963340759
1730369278.485262,137,0.9021514058113098
